Year,Location,Soil Type,Max_Temperature,Min_Teperature,Rainfall,Humidity,Yield Kg/ha
2019,DZ-BS,Black Soil,28.5,11.5,811.2,44,2300
2019,DZ-BS,Black Soil,30,13,811.2,48,3230
2019,DZ-BS,Black Soil,29.5,12.5,811.2,51,3390
2019,DZ-BS,Black Soil,29,14.5,811.2,59,3090
2019,DZ-BS,Black Soil,28.5,12.5,811.2,72,3100
2019,DZ-BS,Black Soil,30,15,811.2,59,2870
2019,DZ-BS,Black Soil,30.5,13,811.2,54,3650
2019,DZ-BS,Black Soil,31,12,811.2,62,2900
2019,DZ-BS,Black Soil,26.5,12,811.2,58,4520
2019,DZ-BS,Black Soil,31,11.5,811.2,51,3300
2019,DZ-BS,Black Soil,26.5,1.5,811.2,43,3350
2019,DZ-BS,Black Soil,29,11,811.2,51,3950
2019,DZ-BS,Black Soil,30,12,811.2,47,3940
2019,DZ-BS,Black Soil,27,12,811.2,47,2770
2019,DZ-BS,Black Soil,27.5,10,811.2,52,3050
2019,DZ-BS,Black Soil,31,14.5,811.2,58,4090
2019,DZ-BS,Black Soil,30.5,12.5,811.2,52,2210
2019,DZ-BS,Black Soil,29.5,10,811.2,43,3140
2019,Akaki,Black Soil,30,10,811.2,54,860
2019,Akaki,Black Soil,31,8.5,811.2,48,330
2019,Akaki,Black Soil,30.5,7,811.2,54,410
2019,Akaki,Black Soil,29.5,8,811.2,55,440
2019,Akaki,Black Soil,30,10,811.2,55,270
2019,Akaki,Black Soil,31,12,811.2,53,
2019,Akaki,Black Soil,31,10,811.2,59,1070
2019,Akaki,Black Soil,30,14,811.2,60,720
2019,Akaki,Black Soil,31,14,811.2,64,520
2019,Akaki,Black Soil,31,14,811.2,58,330
2019,Akaki,Black Soil,31,10,811.2,53,820
2019,Akaki,Black Soil,29,13,811.2,51,670
2019,Akaki,Black Soil,29,13,811.2,48,390
2019,Akaki,Black Soil,28.5,12,811.2,44,370
2019,Akaki,Black Soil,30.5,12,811.2,48,780
2019,Akaki,Black Soil,32.5,13,811.2,51,720
2019,Akaki,Black Soil,32,13,811.2,59,830
2019,Akaki,Black Soil,31,10.5,811.2,72,990
2019,Akaki,Black Soil,29.5,11,811.2,59,980
2019,Akaki,Black Soil,27.5,12,811.2,54,500
2019,Akaki,Black Soil,29,12,811.2,62,890
2019,Akaki,Black Soil,27,12,811.2,58,860
2019,Akaki,Black Soil,29.5,13.5,811.2,51,420
2019,Akaki,Black Soil,28.5,10,811.2,43,800
2019,Akaki,Black Soil,28.5,10,811.2,51,620
2019,Akaki,Black Soil,27,11,811.2,47,720
2019,Akaki,Black Soil,31,13,811.2,47,620
2019,Akaki,Black Soil,30.5,16,811.2,52,810
2019,Akaki,Black Soil,29.5,14,811.2,58,840
2019,Akaki,Black Soil,30,13,811.2,52,720
2019,Akaki,Black Soil,31,12,811.2,43,560
2019,Akaki,Black Soil,31,13.5,811.2,54,650
2019,Akaki,Black Soil,30,13,811.2,48,580
2019,Akaki,Black Soil,31,12,811.2,54,350
2019,Akaki,Black Soil,30.5,12.5,811.2,55,560
2019,Akaki,Black Soil,29.5,11.5,811.2,55,650
2019,Akaki,Black Soil,30,11,811.2,53,
2019,Akaki,Black Soil,31,14,811.2,59,490
2019,Akaki,Black Soil,31,14,811.2,60,540
2019,Akaki,Black Soil,30,14,811.2,64,820
2019,Akaki,Black Soil,31,12.5,811.2,58,710
2019,Akaki,Black Soil,31,12.5,811.2,53,640
2019,Akaki,Black Soil,31,11,811.2,48,590
2019,Akaki,Black Soil,29,11.5,811.2,46,330
2019,Akaki,Black Soil,29,12.5,811.2,61,260
2019,Akaki,Black Soil,28.5,10.5,811.2,68,110
2019,Akaki,Black Soil,30.5,11.5,811.2,65,
2019,Akaki,Black Soil,32.5,13,811.2,56,
2019,Akaki,Black Soil,32,11.5,811.2,50,200
2019,Akaki,Black Soil,31,12.5,811.2,46,120
2019,Akaki,Black Soil,29.5,12.5,811.2,50,630
2019,Akaki,Black Soil,27.5,15,811.2,49,410
2019,Akaki,Black Soil,29,11.5,811.2,38,
2019,Akaki,Black Soil,27,13,811.2,44,280
2019,Akaki,Black Soil,29.5,14.5,811.2,46,160
2019,Akaki,Black Soil,28.5,14,811.2,46,300
2019,Akaki,Black Soil,28.5,14,811.2,41,
2019,Akaki,Black Soil,27,13,811.2,43,330
2019,Akaki,Black Soil,31,15,811.2,46,
2019,Akaki,Black Soil,30.5,15.5,811.2,41,580
2019,Akaki,Black Soil,29.5,16.6,811.2,48,
2019,Akaki,Black Soil,30,13.5,811.2,44,
2019,Akaki,Black Soil,31,16,811.2,36,60
2019,Akaki,Black Soil,31,12.5,811.2,50,450
2019,Akaki,Black Soil,30,13,811.2,71,80
2019,Akaki,Black Soil,31,13,811.2,55,310
2019,Akaki,Black Soil,31,12.5,811.2,54,640
2019,Akaki,Black Soil,31,16.5,811.2,48,
2019,Akaki,Black Soil,29,14.5,811.2,46,450
2019,Akaki,Black Soil,29,14.5,811.2,61,360
2019,Akaki,Black Soil,28.5,12.5,811.2,68,380
2019,Akaki,Black Soil,30.5,13.5,811.2,65,560
2019,Akaki,Black Soil,32.5,13,811.2,56,70
2019,Akaki,Black Soil,32,13,811.2,50,110
2019,Akaki,Black Soil,31,12,811.2,46,
2019,Akaki,Black Soil,29.5,11,811.2,50,
2019,Akaki,Black Soil,27.5,13.5,811.2,49,330
2019,Akaki,Black Soil,29,14,811.2,38,530
2019,Akaki,Black Soil,27,14,811.2,44,1260
2019,Akaki,Black Soil,29.5,13.5,811.2,46,260
2019,Akaki,Black Soil,28.5,11,811.2,46,620
2019,Akaki,Black Soil,28.5,10.5,811.2,41,
2019,Akaki,Black Soil,27,13.5,811.2,43,700
2019,Akaki,Black Soil,27,13,811.2,46,880
2019,Akaki,Black Soil,26.5,12,811.2,41,80
2019,Akaki,Black Soil,24,15,811.2,48,280
2019,Akaki,Black Soil,26.5,13.5,811.2,44,270
2019,Akaki,Black Soil,24,15,811.2,36,270
2019,Akaki,Black Soil,26.5,15,811.2,50,430
2019,Akaki,Black Soil,25,14.5,811.2,71,470
2019,Akaki,Black Soil,28.5,16,811.2,55,1170
